Product_Row_ID,Category_Row_ID,Location_Row_ID,Customer_Row_ID,Calender_Row_ID,Shipping_Row_ID,Date,Country,Segment,Sales,Category
56,56,56,56,56,56,17-06-2017,United States,Consumer,208.56,Office Supplies
63,63,63,63,63,63,24-11-2016,United States,Consumer,13.98,Technology
67,67,67,67,67,67,30-04-2016,United States,Home Office,213.115,Furniture
68,68,68,68,68,68,05-12-2015,United States,Corporate,1113.024,Office Supplies
70,70,70,70,70,70,04-06-2017,United States,Consumer,75.88,Office Supplies
71,71,71,71,71,71,18-09-2017,United States,Consumer,4.616,Office Supplies
72,72,72,72,72,72,14-09-2018,United States,Consumer,19.05,Office Supplies
73,73,73,73,73,73,26-04-2016,United States,Consumer,831.936,Furniture
76,76,76,76,76,76,09-12-2018,United States,Corporate,1.248,Office Supplies
79,79,79,79,79,79,26-11-2015,United States,Consumer,19.3,Furniture
80,80,80,80,80,80,12-06-2017,United States,Corporate,208.16,Office Supplies
82,82,82,82,82,82,12-10-2015,United States,Consumer,14.9,Office Supplies
84,84,84,84,84,84,03-09-2016,United States,Corporate,200.984,Office Supplies
85,85,85,85,85,85,13-11-2018,United States,Home Office,230.376,Office Supplies
86,86,86,86,86,86,28-05-2018,United States,Consumer,301.96,Furniture
87,87,87,87,87,87,26-10-2018,United States,Consumer,19.99,Technology
89,89,89,89,89,89,05-04-2017,United States,Home Office,158.368,Office Supplies
90,90,90,90,90,90,17-09-2017,United States,Corporate,20.1,Office Supplies
93,93,93,93,93,93,31-01-2016,United States,Consumer,12.96,Office Supplies
96,96,96,96,96,96,06-11-2018,United States,Home Office,5.682,Office Supplies
97,97,97,97,97,97,09-11-2018,United States,Home Office,96.53,Furniture
98,98,98,98,98,98,17-06-2018,United States,Consumer,51.312,Office Supplies
99,99,99,99,99,99,06-09-2017,United States,Corporate,77.88,Office Supplies
100,100,100,100,100,100,29-08-2017,United States,Home Office,64.624,Office Supplies
103,103,103,103,103,103,01-12-2017,United States,Consumer,23.92,Office Supplies
104,104,104,104,104,104,13-11-2016,United States,Consumer,238.896,Technology
107,107,107,107,107,107,23-11-2018,United States,Consumer,74.112,Technology
110,110,110,110,110,110,15-10-2016,United States,Home Office,339.96,Technology
111,111,111,111,111,111,25-12-2018,United States,Corporate,41.96,Furniture
112,112,112,112,112,112,03-11-2017,United States,Consumer,75.96,Office Supplies
114,114,114,114,114,114,25-08-2015,United States,Consumer,40.096,Office Supplies
118,118,118,118,118,118,02-03-2016,United States,Consumer,787.53,Furniture
119,119,119,119,119,119,05-04-2016,United States,Corporate,157.794,Office Supplies
120,120,120,120,120,120,12-06-2017,United States,Consumer,47.04,Furniture
125,125,125,125,125,125,26-12-2015,United States,Home Office,600.558,Furniture
126,126,126,126,126,126,20-09-2015,United States,Consumer,617.7,Furniture
127,127,127,127,127,127,05-11-2018,United States,Consumer,2.388,Office Supplies
129,129,129,129,129,129,06-11-2017,United States,Home Office,81.424,Furniture
131,131,131,131,131,131,02-02-2018,United States,Corporate,59.97,Technology
134,134,134,134,134,134,13-10-2017,United States,Consumer,20.04,Office Supplies
141,141,141,141,141,141,05-09-2017,United States,Corporate,82.8,Furniture
142,142,142,142,142,142,18-09-2018,United States,Corporate,8.82,Office Supplies
145,145,145,145,145,145,22-12-2018,United States,Consumer,839.43,Office Supplies
146,146,146,146,146,146,07-09-2016,United States,Consumer,671.93,Office Supplies
147,147,147,147,147,147,22-10-2015,United States,Home Office,93.888,Furniture
148,148,148,148,148,148,05-12-2017,United States,Corporate,384.45,Technology
152,152,152,152,152,152,13-03-2017,United States,Home Office,157.92,Office Supplies
154,154,154,154,154,154,31-05-2016,United States,Corporate,58.38,Office Supplies
157,157,157,157,157,157,28-05-2016,United States,Home Office,6.63,Office Supplies
158,158,158,158,158,158,01-03-2015,United States,Consumer,457.568,Furniture
159,159,159,159,159,159,20-11-2017,United States,Consumer,14.62,Office Supplies
161,161,161,161,161,161,11-05-2017,United States,Consumer,5.98,Office Supplies
162,162,162,162,162,162,28-12-2016,United States,Consumer,54.384,Technology
163,163,163,163,163,163,16-11-2017,United States,Consumer,28.4,Office Supplies
164,164,164,164,164,164,07-11-2017,United States,Consumer,27.68,Office Supplies
165,165,165,165,165,165,08-09-2015,United States,Consumer,9.936,Office Supplies
172,172,172,172,172,172,05-08-2015,United States,Consumer,20.94,Office Supplies
175,175,175,175,175,175,14-09-2015,United States,Corporate,52.448,Office Supplies
177,177,177,177,177,177,21-04-2018,United States,Consumer,97.264,Office Supplies
178,178,178,178,178,178,21-11-2016,United States,Consumer,396.802,Furniture
180,180,180,180,180,180,15-12-2016,United States,Home Office,3.28,Office Supplies
181,181,181,181,181,181,05-12-2015,United States,Corporate,24.816,Office Supplies
183,183,183,183,183,183,19-11-2015,United States,Home Office,503.96,Technology
186,186,186,186,186,186,28-11-2017,United States,Consumer,7.16,Office Supplies
187,187,187,187,187,187,26-08-2015,United States,Home Office,176.8,Technology
188,188,188,188,188,188,16-07-2017,United States,Corporate,37.224,Office Supplies
190,190,190,190,190,190,12-10-2016,United States,Home Office,899.136,Furniture
195,195,195,195,195,195,31-10-2016,United States,Corporate,14.28,Office Supplies
196,196,196,196,196,196,21-03-2015,United States,Consumer,7.408,Office Supplies
198,198,198,198,198,198,06-11-2018,United States,Home Office,46.26,Office Supplies
199,199,199,199,199,199,06-07-2018,United States,Corporate,2.946,Office Supplies
201,201,201,201,201,201,24-06-2018,United States,Consumer,21.744,Office Supplies
202,202,202,202,202,202,03-08-2015,United States,Consumer,218.75,Furniture
204,204,204,204,204,204,17-12-2018,United States,Consumer,66.284,Office Supplies
205,205,205,205,205,205,03-06-2018,United States,Corporate,35.168,Furniture
206,206,206,206,206,206,09-12-2018,United States,Consumer,444.768,Technology
207,207,207,207,207,207,01-12-2018,United States,Consumer,83.92,Office Supplies
212,212,212,212,212,212,09-02-2016,United States,Corporate,20.8,Technology
213,213,213,213,213,213,02-01-2016,United States,Corporate,23.68,Office Supplies
218,218,218,218,218,218,28-10-2017,United States,Consumer,93.06,Office Supplies
220,220,220,220,220,220,24-12-2016,United States,Consumer,5.584,Office Supplies
226,226,226,226,226,226,09-08-2016,United States,Corporate,2.2,Office Supplies
229,229,229,229,229,229,28-02-2016,United States,Consumer,161.568,Furniture
231,231,231,231,231,231,13-09-2015,United States,Corporate,18.648,Office Supplies
232,232,232,232,232,232,07-04-2018,United States,Home Office,233.86,Furniture
237,237,237,237,237,237,12-11-2018,United States,Corporate,10.56,Office Supplies
238,238,238,238,238,238,04-06-2017,United States,Consumer,25.92,Office Supplies
245,245,245,245,245,245,01-06-2015,United States,Home Office,2001.86,Furniture
250,250,250,250,250,250,10-12-2017,United States,Consumer,321.568,Furniture
251,251,251,251,251,251,11-09-2017,United States,Consumer,7.61,Office Supplies
253,253,253,253,253,253,10-12-2017,United States,Consumer,80.58,Office Supplies
255,255,255,255,255,255,28-11-2016,United States,Corporate,12.132,Furniture
259,259,259,259,259,259,01-12-2018,United States,Consumer,20.37,Technology
262,262,262,262,262,262,08-06-2018,United States,Corporate,1.624,Office Supplies
263,263,263,263,263,263,19-09-2015,United States,Corporate,3059.982,Technology
265,265,265,265,265,265,06-06-2017,United States,Consumer,328.224,Technology
266,266,266,266,266,266,10-11-2016,United States,Consumer,79.9,Technology
267,267,267,267,267,267,16-06-2018,United States,Corporate,14.016,Office Supplies
268,268,268,268,268,268,22-01-2017,United States,Consumer,7.56,Office Supplies
269,269,269,269,269,269,09-12-2018,United States,Corporate,37.208,Office Supplies
271,271,271,271,271,271,28-12-2018,United States,Corporate,725.84,Office Supplies
272,272,272,272,272,272,30-07-2016,United States,Consumer,209.93,Technology
275,275,275,275,275,275,16-09-2018,United States,Corporate,8.82,Office Supplies
277,277,277,277,277,277,13-10-2018,United States,Corporate,11.648,Office Supplies
281,281,281,281,281,281,26-09-2016,United States,Consumer,2.08,Office Supplies
283,283,283,283,283,283,02-11-2016,United States,Consumer,1038.84,Furniture
284,284,284,284,284,284,26-09-2016,United States,Consumer,141.76,Office Supplies
287,287,287,287,287,287,18-12-2017,United States,Corporate,254.058,Office Supplies
290,290,290,290,290,290,20-11-2017,United States,Home Office,19.096,Office Supplies
294,294,294,294,294,294,26-12-2015,United States,Corporate,300.416,Furniture
299,299,299,299,299,299,28-10-2017,United States,Corporate,32.4,Office Supplies
304,304,304,304,304,304,19-11-2018,United States,Consumer,219.075,Furniture
305,305,305,305,305,305,04-05-2016,United States,Corporate,26.8,Furniture
306,306,306,306,306,306,30-12-2015,United States,Corporate,9.84,Office Supplies
307,307,307,307,307,307,01-06-2015,United States,Home Office,45.48,Office Supplies
309,309,309,309,309,309,15-04-2018,United States,Consumer,4.89,Office Supplies
310,310,310,310,310,310,12-09-2017,United States,Corporate,15.136,Furniture
314,314,314,314,314,314,27-09-2015,United States,Corporate,87.54,Furniture
315,315,315,315,315,315,09-08-2015,United States,Corporate,178.384,Technology
317,317,317,317,317,317,28-12-2015,United States,Corporate,99.136,Office Supplies
318,318,318,318,318,318,04-11-2015,United States,Home Office,135.882,Furniture
323,323,323,323,323,323,19-09-2015,United States,Corporate,7.16,Office Supplies
324,324,324,324,324,324,23-04-2017,United States,Corporate,251.52,Office Supplies
326,326,326,326,326,326,03-11-2018,United States,Corporate,15.992,Furniture
327,327,327,327,327,327,30-08-2017,United States,Consumer,290.898,Technology
332,332,332,332,332,332,25-04-2017,United States,Consumer,82.8,Technology
335,335,335,335,335,335,01-09-2016,United States,Consumer,4.752,Office Supplies
338,338,338,338,338,338,12-07-2015,United States,Corporate,7.712,Office Supplies
340,340,340,340,340,340,22-06-2016,United States,Consumer,4.96,Office Supplies
341,341,341,341,341,341,13-04-2015,United States,Corporate,17.856,Office Supplies
345,345,345,345,345,345,20-12-2016,United States,Consumer,88.8,Office Supplies
346,346,346,346,346,346,15-06-2018,United States,Consumer,47.976,Technology
347,347,347,347,347,347,08-07-2018,United States,Consumer,7.56,Office Supplies
350,350,350,350,350,350,01-09-2017,United States,Home Office,6.79,Technology
355,355,355,355,355,355,08-04-2017,United States,Consumer,388.704,Furniture
359,359,359,359,359,359,23-04-2017,United States,Corporate,36.24,Office Supplies
360,360,360,360,360,360,08-03-2018,United States,Corporate,647.84,Office Supplies
362,362,362,362,362,362,25-09-2018,United States,Consumer,20.7,Office Supplies
366,366,366,366,366,366,24-09-2015,United States,Consumer,211.96,Office Supplies
367,367,367,367,367,367,21-10-2017,United States,Corporate,23.2,Office Supplies
371,371,371,371,371,371,29-05-2018,United States,Consumer,25.92,Office Supplies
373,373,373,373,373,373,23-07-2015,United States,Consumer,8.16,Office Supplies
377,377,377,377,377,377,28-09-2017,United States,Corporate,99.136,Office Supplies
378,378,378,378,378,378,27-08-2018,United States,Corporate,1488.424,Furniture
379,379,379,379,379,379,28-04-2016,United States,Consumer,8.652,Office Supplies
382,382,382,382,382,382,28-10-2017,United States,Corporate,50.96,Office Supplies
384,384,384,384,384,384,26-06-2016,United States,Corporate,41.9,Technology
385,385,385,385,385,385,27-11-2016,United States,Consumer,375.4575,Furniture
387,387,387,387,387,387,03-12-2016,United States,Corporate,482.34,Technology
389,389,389,389,389,389,24-11-2015,United States,Consumer,2.624,Office Supplies
390,390,390,390,390,390,11-12-2018,United States,Consumer,23.36,Office Supplies
392,392,392,392,392,392,21-09-2015,United States,Consumer,246.384,Technology
394,394,394,394,394,394,07-06-2015,United States,Corporate,12.462,Office Supplies
395,395,395,395,395,395,30-06-2018,United States,Home Office,75.792,Office Supplies
396,396,396,396,396,396,17-10-2018,United States,Corporate,49.96,Office Supplies
398,398,398,398,398,398,31-10-2016,United States,Home Office,70.12,Office Supplies
399,399,399,399,399,399,08-09-2017,United States,Consumer,35.952,Office Supplies
403,403,403,403,403,403,24-12-2015,United States,Consumer,9.568,Office Supplies
404,404,404,404,404,404,16-04-2015,United States,Corporate,39.072,Office Supplies
405,405,405,405,405,405,24-12-2018,United States,Consumer,35.91,Office Supplies
406,406,406,406,406,406,08-12-2018,United States,Consumer,179.95,Technology
415,415,415,415,415,415,03-11-2018,United States,Corporate,139.86,Office Supplies
417,417,417,417,417,417,24-06-2018,United States,Consumer,95.92,Office Supplies
418,418,418,418,418,418,14-04-2017,United States,Consumer,383.8,Furniture
419,419,419,419,419,419,06-11-2018,United States,Corporate,5.78,Office Supplies
420,420,420,420,420,420,04-03-2018,United States,Corporate,9.32,Office Supplies
422,422,422,422,422,422,22-06-2015,United States,Consumer,196.752,Technology
423,423,423,423,423,423,19-10-2018,United States,Corporate,56.56,Furniture
425,425,425,425,425,425,21-08-2018,United States,Consumer,866.4,Furniture
426,426,426,426,426,426,23-11-2018,United States,Corporate,28.4,Furniture
428,428,428,428,428,428,12-09-2015,United States,Home Office,69.99,Technology
429,429,429,429,429,429,01-10-2018,United States,Corporate,6.672,Office Supplies
430,430,430,430,430,430,15-04-2017,United States,Home Office,189.588,Office Supplies
434,434,434,434,434,434,06-06-2017,United States,Consumer,714.3,Office Supplies
435,435,435,435,435,435,19-12-2015,United States,Consumer,4.812,Office Supplies
437,437,437,437,437,437,12-06-2017,United States,Home Office,1007.979,Technology
439,439,439,439,439,439,15-09-2018,United States,Corporate,31.872,Office Supplies
440,440,440,440,440,440,20-01-2018,United States,Corporate,207.846,Furniture
441,441,441,441,441,441,05-09-2017,United States,Consumer,12.22,Furniture
447,447,447,447,447,447,20-03-2018,United States,Consumer,2.91,Furniture
448,448,448,448,448,448,01-04-2017,United States,Consumer,59.52,Office Supplies
454,454,454,454,454,454,20-10-2018,United States,Corporate,284.364,Furniture
456,456,456,456,456,456,13-12-2017,United States,Corporate,63.88,Technology
457,457,457,457,457,457,12-02-2015,United States,Consumer,129.568,Furniture
458,458,458,458,458,458,26-09-2017,United States,Consumer,747.558,Furniture
460,460,460,460,460,460,15-12-2016,United States,Consumer,103.92,Office Supplies
463,463,463,463,463,463,22-04-2017,United States,Home Office,23.56,Furniture
468,468,468,468,468,468,17-01-2016,United States,Home Office,254.744,Furniture
469,469,469,469,469,469,31-03-2018,United States,Corporate,205.3328,Furniture
470,470,470,470,470,470,16-12-2017,United States,Consumer,4.788,Office Supplies
471,471,471,471,471,471,20-12-2016,United States,Corporate,55.48,Office Supplies
472,472,472,472,472,472,09-11-2015,United States,Consumer,340.92,Office Supplies
478,478,478,478,478,478,12-07-2017,United States,Corporate,95.76,Technology
479,479,479,479,479,479,27-10-2017,United States,Consumer,40.2,Furniture
480,480,480,480,480,480,26-06-2017,United States,Corporate,14.7,Office Supplies
482,482,482,482,482,482,06-10-2015,United States,Consumer,9.09,Technology
483,483,483,483,483,483,22-07-2015,United States,Consumer,5.96,Office Supplies
485,485,485,485,485,485,10-06-2018,United States,Home Office,29.6,Office Supplies
488,488,488,488,488,488,29-10-2015,United States,Consumer,2735.952,Technology
489,489,489,489,489,489,09-06-2015,United States,Home Office,7.992,Technology
492,492,492,492,492,492,14-09-2015,United States,Consumer,449.15,Office Supplies
494,494,494,494,494,494,09-05-2017,United States,Consumer,93.98,Technology
495,495,495,495,495,495,18-03-2017,United States,Consumer,189.882,Furniture
496,496,496,496,496,496,27-12-2016,United States,Consumer,105.42,Office Supplies
497,497,497,497,497,497,25-07-2017,United States,Consumer,119.616,Office Supplies
501,501,501,501,501,501,30-05-2017,United States,Corporate,22.62,Office Supplies
506,506,506,506,506,506,12-11-2018,United States,Corporate,15.92,Office Supplies
507,507,507,507,507,507,16-03-2016,United States,Consumer,2.74,Office Supplies
511,511,511,511,511,511,26-11-2018,United States,Consumer,126.3,Furniture
513,513,513,513,513,513,20-10-2017,United States,Consumer,7.152,Office Supplies
514,514,514,514,514,514,21-12-2018,United States,Consumer,6.63,Office Supplies
516,516,516,516,516,516,22-01-2018,United States,Home Office,2999.95,Technology
520,520,520,520,520,520,22-03-2016,United States,Consumer,18.392,Technology
523,523,523,523,523,523,23-01-2018,United States,Corporate,210.98,Furniture
524,524,524,524,524,524,21-05-2017,United States,Consumer,55.176,Technology
526,526,526,526,526,526,26-12-2016,United States,Consumer,22.2,Office Supplies
527,527,527,527,527,527,21-10-2018,United States,Home Office,683.952,Furniture
529,529,529,529,529,529,03-09-2016,United States,Consumer,36.336,Office Supplies
532,532,532,532,532,532,07-11-2016,United States,Corporate,190.72,Furniture
533,533,533,533,533,533,07-09-2018,United States,Consumer,47.94,Furniture
534,534,534,534,534,534,29-05-2017,United States,Consumer,979.95,Technology
536,536,536,536,536,536,10-07-2017,United States,Consumer,16.768,Office Supplies
537,537,537,537,537,537,03-09-2018,United States,Consumer,42.616,Office Supplies
538,538,538,538,538,538,03-12-2016,United States,Home Office,10.752,Office Supplies
539,539,539,539,539,539,07-12-2016,United States,Consumer,152.94,Office Supplies
541,541,541,541,541,541,01-02-2015,United States,Consumer,468.9,Technology
542,542,542,542,542,542,14-07-2017,United States,Corporate,380.864,Technology
543,543,543,543,543,543,18-12-2016,United States,Consumer,646.776,Office Supplies
544,544,544,544,544,544,11-05-2015,United States,Consumer,58.112,Technology
547,547,547,547,547,547,19-11-2018,United States,Home Office,41.28,Office Supplies
549,549,549,549,549,549,15-11-2016,United States,Corporate,250.272,Office Supplies
552,552,552,552,552,552,15-04-2017,United States,Consumer,1121.568,Furniture
553,553,553,553,553,553,11-09-2018,United States,Consumer,34.504,Furniture
554,554,554,554,554,554,24-11-2018,United States,Consumer,10.824,Office Supplies
555,555,555,555,555,555,29-06-2018,United States,Corporate,1295.78,Office Supplies
556,556,556,556,556,556,03-03-2015,United States,Consumer,19.456,Office Supplies
557,557,557,557,557,557,10-06-2017,United States,Consumer,20.7,Office Supplies
560,560,560,560,560,560,20-11-2018,United States,Consumer,42.6,Furniture
562,562,562,562,562,562,14-09-2015,United States,Consumer,13,Office Supplies
564,564,564,564,564,564,07-12-2016,United States,Consumer,3.96,Office Supplies
566,566,566,566,566,566,07-12-2018,United States,Consumer,374.376,Technology
567,567,567,567,567,567,01-10-2018,United States,Corporate,91.84,Office Supplies
571,571,571,571,571,571,28-12-2018,United States,Consumer,72.45,Office Supplies
575,575,575,575,575,575,03-11-2017,United States,Consumer,8.82,Office Supplies
576,576,576,576,576,576,18-09-2016,United States,Consumer,160.72,Office Supplies
579,579,579,579,579,579,20-07-2018,United States,Consumer,69.712,Office Supplies
581,581,581,581,581,581,10-09-2016,United States,Consumer,51.52,Office Supplies
582,582,582,582,582,582,01-12-2018,United States,Consumer,470.376,Technology
587,587,587,587,587,587,03-07-2016,United States,Consumer,70.98,Furniture
589,589,589,589,589,589,20-03-2017,United States,Consumer,84.784,Technology
593,593,593,593,593,593,09-01-2015,United States,Consumer,9.344,Office Supplies
595,595,595,595,595,595,08-08-2015,United States,Consumer,76.12,Office Supplies
599,599,599,599,599,599,14-07-2017,United States,Consumer,11.632,Office Supplies
600,600,600,600,600,600,16-07-2017,United States,Consumer,143.982,Technology
603,603,603,603,603,603,15-03-2015,United States,Consumer,142.776,Office Supplies
608,608,608,608,608,608,23-05-2015,United States,Consumer,3.282,Office Supplies
611,611,611,611,611,611,28-04-2017,United States,Corporate,369.576,Technology
613,613,613,613,613,613,11-09-2017,United States,Corporate,8.448,Office Supplies
615,615,615,615,615,615,14-11-2018,United States,Consumer,119.94,Technology
617,617,617,617,617,617,18-08-2018,United States,Corporate,40.48,Furniture
622,622,622,622,622,622,26-12-2015,United States,Consumer,8.69,Office Supplies
623,623,623,623,623,623,29-11-2016,United States,Corporate,301.96,Furniture
627,627,627,627,627,627,15-09-2018,United States,Home Office,35.56,Furniture
628,628,628,628,628,628,19-05-2018,United States,Consumer,97.16,Office Supplies
629,629,629,629,629,629,17-12-2018,United States,Consumer,15.24,Office Supplies
631,631,631,631,631,631,11-12-2017,United States,Consumer,243.384,Office Supplies
634,634,634,634,634,634,24-09-2018,United States,Consumer,17.88,Technology
636,636,636,636,636,636,04-10-2016,United States,Corporate,392.94,Furniture
637,637,637,637,637,637,15-08-2017,United States,Consumer,18.882,Office Supplies
639,639,639,639,639,639,20-05-2017,United States,Home Office,1049.2,Furniture
641,641,641,641,641,641,18-12-2017,United States,Corporate,18.84,Furniture
642,642,642,642,642,642,30-07-2018,United States,Consumer,330.4,Office Supplies
644,644,644,644,644,644,10-06-2018,United States,Consumer,132.52,Technology
645,645,645,645,645,645,21-07-2018,United States,Home Office,6.48,Office Supplies
646,646,646,646,646,646,30-12-2018,United States,Home Office,209.3,Office Supplies
647,647,647,647,647,647,01-04-2017,United States,Corporate,31.56,Office Supplies
649,649,649,649,649,649,11-12-2017,United States,Corporate,14.8,Furniture
652,652,652,652,652,652,23-10-2017,United States,Home Office,379.4,Office Supplies
653,653,653,653,653,653,19-06-2018,United States,Corporate,97.82,Office Supplies
655,655,655,655,655,655,22-08-2017,United States,Consumer,113.552,Office Supplies
658,658,658,658,658,658,19-09-2017,United States,Home Office,701.372,Furniture
660,660,660,660,660,660,24-08-2016,United States,Consumer,999.432,Office Supplies
664,664,664,664,664,664,26-03-2017,United States,Corporate,459.95,Office Supplies
665,665,665,665,665,665,04-11-2017,United States,Consumer,10.74,Office Supplies
666,666,666,666,666,666,08-06-2018,United States,Corporate,23.76,Office Supplies
669,669,669,669,669,669,24-12-2015,United States,Consumer,30.36,Furniture
670,670,670,670,670,670,09-06-2018,United States,Home Office,23.976,Furniture
673,673,673,673,673,673,15-06-2018,United States,Consumer,19.56,Office Supplies
674,674,674,674,674,674,05-12-2018,United States,Consumer,61.44,Office Supplies
677,677,677,677,677,677,18-03-2018,United States,Consumer,2.688,Office Supplies
681,681,681,681,681,681,19-11-2017,United States,Consumer,14.352,Office Supplies
684,684,684,684,684,684,04-11-2018,United States,Corporate,7999.98,Technology
686,686,686,686,686,686,05-07-2015,United States,Consumer,479.97,Technology
689,689,689,689,689,689,25-12-2018,United States,Consumer,191.984,Furniture
690,690,690,690,690,690,21-06-2015,United States,Consumer,104.01,Furniture
693,693,693,693,693,693,28-03-2016,United States,Consumer,166.24,Technology
695,695,695,695,695,695,14-05-2016,United States,Home Office,198.272,Office Supplies
702,702,702,702,702,702,02-09-2018,United States,Corporate,15.072,Furniture
703,703,703,703,703,703,04-11-2017,United States,Corporate,209.88,Furniture
704,704,704,704,704,704,09-04-2016,United States,Consumer,369.912,Furniture
705,705,705,705,705,705,12-09-2015,United States,Corporate,10.368,Office Supplies
708,708,708,708,708,708,02-12-2015,United States,Consumer,119.96,Technology
711,711,711,711,711,711,05-04-2015,United States,Home Office,55.48,Office Supplies
712,712,712,712,712,712,03-09-2018,United States,Consumer,24.448,Office Supplies
713,713,713,713,713,713,19-05-2018,United States,Corporate,281.34,Office Supplies
716,716,716,716,716,716,01-07-2015,United States,Corporate,19.92,Office Supplies
717,717,717,717,717,717,11-01-2015,United States,Consumer,9.94,Furniture
718,718,718,718,718,718,24-09-2018,United States,Consumer,103.056,Furniture
719,719,719,719,719,719,02-06-2015,United States,Home Office,59.808,Office Supplies
721,721,721,721,721,721,13-02-2017,United States,Home Office,146.82,Office Supplies
722,722,722,722,722,722,15-12-2017,United States,Corporate,1652.94,Furniture
724,724,724,724,724,724,07-10-2015,United States,Home Office,129.92,Furniture
725,725,725,725,725,725,07-07-2017,United States,Corporate,45.584,Office Supplies
726,726,726,726,726,726,16-09-2018,United States,Consumer,17.568,Office Supplies
728,728,728,728,728,728,03-12-2017,United States,Consumer,182.72,Office Supplies
733,733,733,733,733,733,21-01-2018,United States,Home Office,242.94,Office Supplies
739,739,739,739,739,739,08-09-2015,United States,Consumer,49.98,Technology
740,740,740,740,740,740,04-01-2015,United States,Home Office,11.784,Office Supplies
743,743,743,743,743,743,27-08-2017,United States,Consumer,51.52,Office Supplies
747,747,747,747,747,747,27-05-2015,United States,Corporate,567.12,Furniture
749,749,749,749,749,749,20-03-2017,United States,Consumer,11.992,Technology
750,750,750,750,750,750,02-10-2018,United States,Consumer,58.05,Office Supplies
754,754,754,754,754,754,07-04-2017,United States,Corporate,1199.976,Technology
755,755,755,755,755,755,07-12-2016,United States,Consumer,79.92,Furniture
756,756,756,756,756,756,18-09-2017,United States,Corporate,383.438,Furniture
757,757,757,757,757,757,29-12-2015,United States,Consumer,24.56,Office Supplies
759,759,759,759,759,759,23-07-2018,United States,Corporate,13.128,Office Supplies
760,760,760,760,760,760,18-09-2018,United States,Corporate,22.72,Office Supplies
761,761,761,761,761,761,31-08-2016,United States,Consumer,58.32,Office Supplies
762,762,762,762,762,762,03-11-2018,United States,Corporate,12.39,Office Supplies
763,763,763,763,763,763,08-02-2016,United States,Consumer,107.982,Technology
764,764,764,764,764,764,13-01-2015,United States,Corporate,11.36,Office Supplies
769,769,769,769,769,769,14-05-2015,United States,Corporate,310.88,Furniture
770,770,770,770,770,770,19-05-2017,United States,Consumer,641.96,Furniture
771,771,771,771,771,771,30-01-2018,United States,Corporate,18.28,Office Supplies
777,777,777,777,777,777,29-06-2015,United States,Consumer,32.76,Office Supplies
778,778,778,778,778,778,21-08-2016,United States,Home Office,544.008,Furniture
782,782,782,782,782,782,03-10-2016,United States,Consumer,32.07,Office Supplies
786,786,786,786,786,786,23-05-2016,United States,Corporate,186.69,Office Supplies
787,787,787,787,787,787,17-03-2018,United States,Consumer,17.456,Office Supplies
788,788,788,788,788,788,12-12-2016,United States,Consumer,348.928,Furniture
789,789,789,789,789,789,26-06-2016,United States,Consumer,143.96,Office Supplies
793,793,793,793,793,793,20-05-2017,United States,Consumer,1363.96,Technology
794,794,794,794,794,794,20-09-2015,United States,Consumer,9.96,Office Supplies
796,796,796,796,796,796,21-09-2018,United States,Consumer,20.16,Office Supplies
797,797,797,797,797,797,24-12-2016,United States,Corporate,132.79,Office Supplies
800,800,800,800,800,800,27-11-2016,United States,Consumer,283.92,Furniture
