Shipping_Row_ID,Ship Date,Ship_Mode
645,25-07-2018,Standard Class
646,05-01-2019,Standard Class
647,08-04-2017,Standard Class
649,16-12-2017,Second Class
652,29-10-2017,Standard Class
653,23-06-2018,Standard Class
655,28-08-2017,Standard Class
658,19-09-2017,Same Day
660,28-08-2016,Standard Class
664,30-03-2017,Standard Class
665,04-11-2017,Same Day
666,10-06-2018,Second Class
669,26-12-2015,First Class
670,13-06-2018,Standard Class
673,22-06-2018,Standard Class
674,08-12-2018,First Class
677,23-03-2018,Standard Class
681,24-11-2017,Standard Class
684,04-11-2018,Same Day
686,08-07-2015,First Class
689,29-12-2018,Standard Class
690,23-06-2015,Second Class
693,02-04-2016,Standard Class
695,17-05-2016,First Class
702,08-09-2018,Standard Class
703,08-11-2017,Second Class
704,14-04-2016,Standard Class
705,17-09-2015,Standard Class
708,04-12-2015,First Class
711,07-04-2015,First Class
712,07-09-2018,Standard Class
713,24-05-2018,Standard Class
716,06-07-2015,Second Class
717,14-01-2015,First Class
718,29-09-2018,Standard Class
719,07-06-2015,Standard Class
721,18-02-2017,Standard Class
722,19-12-2017,Standard Class
724,13-10-2015,Standard Class
725,12-07-2017,Standard Class
726,20-09-2018,Standard Class
728,06-12-2017,First Class
733,25-01-2018,Standard Class
739,12-09-2015,Standard Class
740,08-01-2015,Standard Class
743,01-09-2017,Standard Class
747,27-05-2015,Same Day
749,22-03-2017,Second Class
750,06-10-2018,Standard Class
754,09-04-2017,First Class
755,12-12-2016,Standard Class
756,22-09-2017,Standard Class
757,02-01-2016,Standard Class
759,28-07-2018,Standard Class
760,22-09-2018,Standard Class
761,05-09-2016,Standard Class
762,07-11-2018,Standard Class
763,13-02-2016,Standard Class
764,15-01-2015,Second Class
769,20-05-2015,Standard Class
770,24-05-2017,Standard Class
771,05-02-2018,Standard Class
777,06-07-2015,Standard Class
778,23-08-2016,First Class
782,06-10-2016,Second Class
786,28-05-2016,Standard Class
787,21-03-2018,Second Class
788,16-12-2016,Standard Class
789,30-06-2016,Standard Class
793,20-05-2017,Same Day
794,26-09-2015,Standard Class
796,26-09-2018,Standard Class
797,26-12-2016,First Class
800,03-12-2016,Standard Class
801,23-02-2018,First Class
803,23-08-2017,Second Class
804,17-03-2017,Standard Class
805,24-04-2018,First Class
806,07-11-2015,Standard Class
808,05-02-2016,First Class
810,15-10-2015,First Class
814,14-05-2018,Same Day
816,23-03-2016,First Class
817,19-09-2017,Standard Class
818,02-07-2015,Standard Class
823,27-06-2018,Standard Class
825,15-05-2015,Standard Class
827,28-08-2018,Standard Class
830,21-06-2018,Second Class
834,27-07-2017,Standard Class
837,13-09-2015,Second Class
838,11-11-2018,Standard Class
839,12-03-2017,Standard Class
840,25-11-2016,Standard Class
843,09-11-2017,First Class
847,17-10-2016,Standard Class
849,06-01-2018,Standard Class
850,12-02-2015,Standard Class
851,25-06-2017,Second Class
853,04-06-2017,Standard Class
854,24-02-2017,Standard Class
856,08-08-2015,Standard Class
859,15-04-2018,Standard Class
861,16-06-2015,Standard Class
863,07-01-2017,Second Class
866,15-01-2015,Standard Class
868,02-10-2017,First Class
869,10-04-2015,Standard Class
870,05-09-2017,First Class
872,20-10-2016,First Class
873,15-12-2015,Standard Class
875,29-08-2018,Standard Class
876,21-01-2017,Standard Class
879,21-09-2015,Standard Class
880,02-12-2018,Second Class
882,13-10-2016,Standard Class
883,23-12-2018,Same Day
884,24-10-2017,First Class
885,04-05-2015,Standard Class
886,28-04-2016,Second Class
887,02-07-2018,Standard Class
888,19-10-2018,Standard Class
889,16-12-2015,Standard Class
890,26-06-2018,Standard Class
892,27-06-2018,First Class
895,12-11-2017,First Class
897,06-10-2017,Second Class
898,15-09-2015,Standard Class
899,31-10-2018,Second Class
900,12-04-2017,First Class
901,13-11-2018,First Class
903,17-09-2018,First Class
904,12-04-2017,Standard Class
907,03-01-2019,Standard Class
910,07-09-2018,Standard Class
913,07-06-2016,Standard Class
914,29-11-2018,First Class
916,21-06-2015,Standard Class
919,11-03-2017,Standard Class
921,12-12-2015,Standard Class
922,15-04-2016,Standard Class
925,20-09-2017,Standard Class
926,16-09-2015,First Class
928,09-10-2016,Standard Class
930,17-04-2018,First Class
933,06-09-2018,Standard Class
934,24-06-2017,Standard Class
938,06-11-2018,First Class
939,17-12-2016,Standard Class
941,20-06-2017,First Class
942,20-12-2017,Standard Class
944,03-06-2016,Standard Class
947,28-07-2016,First Class
948,02-12-2018,Standard Class
953,07-04-2018,Standard Class
954,01-01-2019,Standard Class
956,04-12-2018,Standard Class
957,18-05-2018,Second Class
960,22-09-2016,Same Day
961,19-11-2018,Standard Class
962,01-12-2016,Standard Class
963,04-09-2017,First Class
964,24-09-2015,Second Class
965,11-04-2018,First Class
971,18-01-2015,Second Class
975,08-10-2018,Second Class
977,15-07-2018,Standard Class
978,10-01-2018,First Class
979,31-05-2017,First Class
980,12-12-2016,First Class
981,08-10-2017,Standard Class
982,14-11-2015,Second Class
985,05-10-2018,Standard Class
988,10-03-2016,Same Day
989,26-05-2018,Standard Class
991,31-03-2016,Second Class
992,11-09-2017,First Class
993,27-08-2017,First Class
995,25-05-2015,Standard Class
997,03-11-2016,Standard Class
1001,17-11-2017,Standard Class
1002,31-07-2016,Same Day
1005,31-08-2016,Standard Class
1006,17-11-2016,Standard Class
1007,09-11-2016,First Class
1009,01-01-2019,Standard Class
1010,03-08-2018,First Class
1011,26-11-2015,First Class
1012,21-06-2018,Second Class
1014,24-12-2016,Second Class
1016,19-09-2016,Second Class
1017,10-07-2016,Standard Class
1021,03-05-2016,Standard Class
1024,20-06-2016,Standard Class
1025,20-12-2018,First Class
1026,13-01-2017,Second Class
1029,15-07-2015,Standard Class
1034,22-11-2017,First Class
1037,26-04-2017,Standard Class
1038,14-06-2016,First Class
1039,21-11-2018,First Class
1041,24-03-2017,Standard Class
1042,09-09-2017,Second Class
1044,12-07-2018,First Class
1046,16-10-2018,Standard Class
1047,13-03-2017,Standard Class
1049,01-06-2015,Second Class
1051,05-07-2016,First Class
1054,08-04-2016,Standard Class
1058,17-12-2018,Standard Class
1060,01-12-2017,Standard Class
1061,29-03-2016,Standard Class
1062,21-04-2016,Standard Class
1068,02-10-2017,First Class
1069,30-09-2018,Second Class
1070,29-07-2016,Standard Class
1071,26-11-2016,Standard Class
1072,02-05-2017,Standard Class
1073,19-11-2018,Standard Class
1074,19-11-2017,Standard Class
1077,30-09-2017,First Class
1078,25-09-2018,Second Class
1081,04-12-2016,Standard Class
1083,05-03-2017,Standard Class
1087,12-08-2017,Same Day
1088,20-08-2017,Second Class
1090,10-06-2018,Standard Class
1092,13-12-2016,Standard Class
1094,31-12-2016,Standard Class
1096,26-01-2018,Standard Class
1098,28-06-2015,First Class
1099,17-06-2017,First Class
1103,27-04-2018,Standard Class
1105,27-10-2017,Standard Class
1106,24-11-2017,Standard Class
1114,23-12-2018,Second Class
1117,24-07-2017,Second Class
1118,08-09-2016,Standard Class
1122,26-01-2015,Standard Class
1128,07-03-2016,Standard Class
1130,16-04-2017,Standard Class
1133,07-12-2017,First Class
1134,09-06-2017,Standard Class
1136,11-12-2017,Same Day
1137,15-11-2017,Second Class
1142,03-10-2015,Standard Class
1147,04-04-2016,Same Day
1152,14-05-2016,Standard Class
1153,06-01-2018,Standard Class
1155,21-12-2015,First Class
1159,07-07-2017,Second Class
1160,04-07-2018,Standard Class
1162,05-09-2015,Second Class
1163,08-03-2015,Standard Class
1166,08-05-2015,Standard Class
1167,02-11-2016,Same Day
1168,10-12-2018,Second Class
1172,14-03-2015,Standard Class
1173,25-04-2015,Standard Class
1174,26-10-2016,Standard Class
1175,25-08-2016,First Class
1176,03-09-2017,Standard Class
1177,30-12-2015,Second Class
1178,05-12-2017,Standard Class
1180,27-04-2017,Second Class
1181,25-06-2015,Standard Class
1183,15-01-2018,First Class
1185,30-11-2015,Standard Class
1189,28-02-2018,Second Class
1194,15-09-2016,Same Day
1198,12-04-2017,Standard Class
1201,24-07-2017,Standard Class
1206,04-08-2018,First Class
1207,18-07-2017,Second Class
1213,13-09-2018,Standard Class
1221,16-07-2015,Standard Class
1223,05-12-2017,First Class
1229,11-11-2018,Standard Class
1232,02-11-2016,Second Class
1234,01-06-2017,First Class
1235,28-10-2017,Same Day
1239,15-08-2015,Standard Class
1242,04-09-2017,Standard Class
1243,22-02-2017,Standard Class
1245,21-05-2018,Standard Class
1246,14-12-2015,Second Class
1249,24-12-2018,Standard Class
1253,09-07-2016,Standard Class
1254,14-03-2018,Standard Class
1258,28-12-2017,Second Class
1261,27-10-2018,Standard Class
1262,04-11-2017,Standard Class
1263,09-07-2018,Second Class
1264,02-10-2017,First Class
1266,07-09-2018,Standard Class
1267,29-12-2015,Standard Class
1269,27-09-2018,Standard Class
1270,08-06-2018,Standard Class
1271,26-04-2017,Standard Class
1274,26-05-2017,Same Day
1278,07-05-2017,Standard Class
1279,11-09-2015,First Class
1281,06-09-2017,First Class
1282,11-04-2018,First Class
1285,12-12-2016,Standard Class
1286,03-07-2017,Standard Class
1287,08-07-2016,Standard Class
1288,26-11-2017,Standard Class
1291,12-11-2017,First Class
1293,01-09-2016,Standard Class
1296,29-05-2016,Standard Class
1297,03-01-2019,Standard Class
1299,12-12-2017,Second Class
1300,07-10-2016,First Class
1301,25-12-2017,Second Class
1303,24-09-2016,Second Class
1304,07-07-2018,Standard Class
1306,16-07-2017,Second Class
1307,21-06-2017,First Class
1312,13-12-2017,Standard Class
1314,01-10-2017,Standard Class
1315,23-12-2017,Standard Class
1318,14-12-2018,Standard Class
1319,05-07-2015,Standard Class
1321,08-02-2018,Standard Class
1323,08-03-2018,Standard Class
1324,10-10-2018,First Class
1325,03-10-2015,Standard Class
1326,30-05-2015,First Class
1327,18-06-2016,Standard Class
1328,01-04-2017,First Class
1329,18-10-2018,Second Class
1330,27-05-2017,Standard Class
1331,06-06-2018,Standard Class
1333,21-02-2015,Standard Class
1335,10-05-2015,Standard Class
1336,23-05-2017,Standard Class
1337,07-04-2018,Standard Class
1338,02-04-2018,Second Class
1341,04-01-2018,First Class
1344,01-06-2016,Standard Class
1346,24-03-2015,Standard Class
1351,08-10-2015,Second Class
1352,31-03-2017,First Class
1353,09-05-2018,Standard Class
1356,05-07-2015,Same Day
1358,07-05-2017,First Class
1359,27-04-2018,First Class
1360,01-10-2015,Second Class
1361,25-10-2018,Standard Class
1364,11-11-2018,First Class
1369,11-07-2018,First Class
1370,28-12-2016,Standard Class
1372,12-03-2018,Standard Class
1373,06-04-2015,Second Class
1375,19-09-2016,Standard Class
1376,09-08-2015,Second Class
1382,09-09-2017,Standard Class
1383,05-02-2017,Same Day
1394,04-07-2018,First Class
1395,14-10-2018,Standard Class
1397,26-11-2017,First Class
1401,05-11-2017,Standard Class
1403,25-04-2017,Standard Class
1405,08-04-2015,First Class
1408,06-09-2017,Standard Class
1410,30-09-2017,Standard Class
1411,11-11-2018,Standard Class
1412,13-07-2017,Standard Class
1414,05-07-2015,Standard Class
1415,31-01-2018,Second Class
1417,24-09-2016,First Class
1420,30-09-2016,Standard Class
1427,04-11-2016,Second Class
1431,30-11-2018,Standard Class
1432,21-12-2015,Second Class
1435,30-12-2017,Standard Class
1436,27-06-2018,Standard Class
1438,15-10-2016,Same Day
1440,15-04-2018,Second Class
1442,24-12-2018,Second Class
1443,08-08-2018,First Class
1444,06-10-2016,Standard Class
1445,28-05-2017,Standard Class
1446,16-06-2018,First Class
1449,24-04-2015,First Class
1450,07-05-2016,Standard Class
1451,20-07-2016,First Class
1452,29-11-2017,First Class
1456,19-06-2018,Standard Class
1458,21-08-2016,Standard Class
1459,01-10-2017,Standard Class
1460,04-05-2015,Same Day
1461,08-12-2016,Standard Class
1462,15-03-2017,Standard Class
1463,28-08-2017,First Class
1465,19-12-2017,First Class
1466,14-08-2015,Standard Class
1468,16-05-2016,Same Day
1469,13-12-2018,Standard Class
1472,27-09-2016,Second Class
1473,15-07-2018,Standard Class
1474,02-12-2016,Same Day
1475,25-11-2017,Standard Class
1477,24-03-2018,Standard Class
1478,17-11-2017,Standard Class
1479,20-11-2018,First Class
1480,08-12-2017,Standard Class
1483,28-08-2018,Second Class
1485,18-10-2017,Standard Class
1486,03-12-2015,Standard Class
1487,07-11-2016,Standard Class
1490,06-12-2015,Standard Class
1491,05-05-2018,Second Class
1492,28-11-2018,Standard Class
1494,03-11-2018,Standard Class
1495,19-12-2015,Second Class
1496,08-09-2018,Standard Class
1499,20-10-2017,First Class
1500,18-11-2018,Standard Class
1503,01-12-2017,Standard Class
1505,07-08-2016,Standard Class
1507,29-12-2018,Standard Class
1508,23-09-2017,Standard Class
1509,10-12-2018,Same Day
1510,15-09-2018,First Class
1511,01-07-2018,Standard Class
1513,22-08-2018,Standard Class
1516,17-12-2018,Standard Class
1517,14-12-2018,Second Class
1518,06-02-2015,Second Class
1520,14-02-2018,Second Class
1521,21-04-2018,Standard Class
1522,11-12-2016,Standard Class
1527,27-07-2017,Standard Class
1529,10-11-2016,Second Class
1531,31-03-2016,Standard Class
1532,05-09-2018,Standard Class
1534,08-12-2017,Standard Class
1535,14-02-2018,Standard Class
1536,02-11-2017,Standard Class
1538,17-09-2018,Second Class
1542,16-03-2015,Second Class
1544,08-02-2015,Standard Class
1546,04-01-2016,Second Class
1547,27-11-2016,Standard Class
1550,08-07-2015,First Class
1551,18-11-2018,Second Class
1552,22-06-2017,Standard Class
1553,05-05-2015,First Class
1554,21-10-2018,Standard Class
1555,13-02-2016,Standard Class
1556,08-09-2018,Standard Class
1557,15-05-2017,Standard Class
1559,18-03-2016,Second Class
1560,13-04-2017,Standard Class
1561,09-04-2015,Standard Class
1562,06-09-2018,First Class
1563,30-06-2018,Same Day
1564,09-11-2016,Same Day
1565,04-03-2015,Same Day
1566,25-03-2016,Standard Class
1567,30-11-2016,First Class
1569,11-06-2018,Same Day
1570,30-11-2018,Standard Class
1571,25-11-2015,First Class
1575,18-12-2015,First Class
1577,27-04-2017,Standard Class
1578,27-05-2017,Standard Class
1579,01-03-2017,First Class
1580,12-08-2016,First Class
1590,16-05-2017,Standard Class
1591,19-04-2017,Standard Class
1593,25-06-2016,Second Class
1594,19-10-2015,Same Day
1595,27-03-2016,First Class
1596,12-05-2018,Standard Class
1597,18-10-2018,First Class
1598,21-11-2018,Second Class
1602,13-05-2017,Second Class
1603,17-12-2017,Standard Class
1604,04-12-2018,Standard Class
1605,24-04-2017,Second Class
1611,30-05-2015,Standard Class
1614,25-12-2018,Standard Class
1615,19-03-2017,Standard Class
1616,16-08-2016,Standard Class
1619,14-09-2017,Second Class
1621,15-07-2018,Standard Class
1625,24-12-2016,Standard Class
1627,22-11-2016,Standard Class
1628,30-09-2016,Standard Class
1629,25-06-2018,Second Class
1631,08-05-2017,Same Day
1636,02-12-2015,Standard Class
1639,01-06-2017,Standard Class
1643,04-12-2015,Standard Class
1644,20-03-2016,First Class
1647,03-11-2016,First Class
1649,29-09-2016,Second Class
1651,29-08-2015,Same Day
1653,21-11-2018,First Class
1658,15-05-2015,First Class
1659,26-01-2018,Standard Class
1660,06-11-2018,Standard Class
1662,06-05-2018,Standard Class
1664,26-11-2017,Second Class
1670,15-01-2016,Standard Class
1671,26-10-2018,Standard Class
1672,25-03-2017,First Class
1673,07-07-2018,Standard Class
1674,12-12-2016,First Class
1675,21-09-2016,Standard Class
1677,24-05-2017,Standard Class
1679,13-09-2015,Standard Class
1683,01-10-2017,Second Class
1684,12-11-2017,Standard Class
1685,27-04-2018,First Class
1688,12-12-2018,First Class
1690,20-08-2015,Standard Class
1691,15-12-2018,Standard Class
1693,19-03-2017,Standard Class
1694,29-06-2017,Second Class
1695,28-09-2016,Second Class
1698,31-12-2016,Standard Class
1700,07-06-2015,Second Class
1701,15-07-2016,Second Class
1704,06-02-2015,Standard Class
1705,08-03-2017,Same Day
1706,26-11-2016,Standard Class
1707,05-11-2018,Standard Class
1713,04-02-2016,Standard Class
1714,13-09-2018,Second Class
1715,13-10-2018,Standard Class
1716,04-05-2017,Standard Class
1717,24-05-2017,Standard Class
1722,25-12-2016,Standard Class
1725,20-12-2016,First Class
1728,04-05-2018,Second Class
1729,07-02-2017,Same Day
1731,03-10-2015,Standard Class
1733,14-07-2017,Standard Class
1735,01-08-2018,Second Class
1738,09-09-2016,Standard Class
1741,16-08-2015,Standard Class
1742,03-11-2018,Standard Class
1746,09-06-2015,First Class
1747,17-08-2017,Second Class
1749,29-04-2015,Standard Class
1751,27-11-2016,Standard Class
1752,17-10-2018,First Class
1753,05-12-2018,First Class
1756,11-12-2016,Second Class
1758,15-07-2016,First Class
1759,17-05-2015,Standard Class
1760,12-01-2015,Standard Class
1761,09-09-2016,Standard Class
1764,08-08-2017,Standard Class
1768,26-03-2015,Standard Class
1770,08-03-2018,Standard Class
1772,29-11-2017,Second Class
1774,03-05-2015,Standard Class
1778,28-11-2016,Standard Class
1780,16-11-2017,Standard Class
1782,13-07-2016,Standard Class
1784,26-09-2018,Standard Class
1788,19-02-2016,Standard Class
1791,04-10-2015,Standard Class
1792,03-12-2015,First Class
1794,13-12-2015,Standard Class
1795,10-09-2017,Standard Class
1796,30-08-2018,First Class
1799,11-07-2017,Standard Class
1800,10-08-2017,Second Class
1802,19-11-2017,Standard Class
1803,26-09-2018,Second Class
1806,28-12-2017,First Class
1809,13-02-2017,First Class
1810,29-10-2017,Standard Class
1812,11-06-2015,Second Class
1813,26-11-2018,Standard Class
1815,18-09-2016,Standard Class
1816,04-06-2016,Same Day
1818,15-12-2016,Second Class
1819,29-05-2015,Standard Class
1821,20-02-2017,Standard Class
1825,28-12-2017,Standard Class
1828,11-02-2017,Second Class
1829,15-07-2016,Second Class
1830,24-05-2015,Standard Class
1831,21-10-2018,Same Day
1833,09-11-2016,Standard Class
1834,07-08-2018,Standard Class
1836,24-06-2015,First Class
1837,21-02-2018,Second Class
1838,05-08-2015,Standard Class
1842,23-07-2017,Standard Class
1843,11-02-2016,Second Class
1845,02-08-2018,Standard Class
1846,17-01-2018,Second Class
1848,10-09-2018,Same Day
1850,25-07-2016,Second Class
1856,17-06-2015,Standard Class
1857,15-05-2018,Second Class
1859,05-09-2016,First Class
1861,27-03-2018,First Class
1863,12-11-2015,Same Day
1864,17-10-2017,Standard Class
1866,12-11-2018,Same Day
1867,18-04-2018,First Class
1868,01-07-2016,Standard Class
1870,29-08-2017,Second Class
1871,25-07-2015,Standard Class
1874,25-11-2018,Standard Class
1875,09-06-2015,Standard Class
1876,16-03-2017,Standard Class
1877,29-03-2018,Standard Class
1878,02-01-2019,Standard Class
1880,02-04-2018,Standard Class
1881,05-03-2016,Same Day
1884,17-11-2017,Standard Class
1885,23-01-2018,Second Class
1886,26-04-2017,Second Class
1887,15-05-2015,First Class
1889,22-10-2015,First Class
1891,18-03-2015,Standard Class
1893,24-12-2018,Second Class
1894,29-11-2017,Standard Class
1895,05-12-2018,First Class
1896,04-01-2017,Standard Class
1897,06-10-2018,First Class
1898,02-09-2015,Second Class
1901,03-07-2017,Second Class
1902,23-08-2017,First Class
1903,22-10-2018,First Class
1906,24-10-2018,First Class
1907,21-05-2017,Standard Class
1909,04-02-2016,First Class
